Criteria,Idle_Ratio,SST_degC,Salinity_psu,Region_Risk,Season_Risk,Niche_Score,A.w,lambda_i
Ranking,6.0,4.0,5.0,3.0,1.0,2.0,,
Idle_Ratio,1.0,1.69,1.3,2.197,3.713,2.856,1.746,6.0
SST_degC,0.592,1.0,0.769,1.3,2.197,1.69,1.033,6.0
Salinity_psu,0.769,1.3,1.0,1.69,2.856,2.197,1.343,6.0
Region_Risk,0.455,0.769,0.592,1.0,1.69,1.3,0.795,6.0
Season_Risk,0.269,0.455,0.35,0.592,1.0,0.769,0.47,6.0
Niche_Score,0.35,0.592,0.455,0.769,1.3,1.0,0.611,6.0
Geometric Mean,1.927,1.14,1.482,0.877,0.519,0.675,,
AHP Weight (raw),0.291,0.172,0.224,0.132,0.078,0.102,,
lambda_max,6.0,,,,,,,
n (number of criteria),6.0,,,,,,,
CI (Consistency Index),0.0,,,,,,,
RI (Random Index),1.41,,,,,,,
CR (Consistency Ratio),0.0,,,,,,,
