Idle_Ratio,SST_degC,Salinity_psu,Region_Risk,Season_Risk,Niche_Score
0.039,0.041,0.033,0.023,0.034,0.033
0.031,0.041,0.033,0.07,0.034,0.033
0.039,0.041,0.033,0.023,0.026,0.033
0.039,0.041,0.033,0.023,0.026,0.033
0.039,0.041,0.033,0.023,0.026,0.033
0.039,0.041,0.033,0.023,0.026,0.033
0.039,0.041,0.033,0.023,0.034,0.033
0.0,0.045,0.033,0.07,0.034,0.033
0.0,0.043,0.033,0.07,0.034,0.033
0.039,0.008,0.033,0.023,0.034,0.033
0.039,0.049,0.033,0.023,0.034,0.033
0.039,0.049,0.033,0.023,0.034,0.033
0.039,0.049,0.033,0.023,0.034,0.033
0.039,0.049,0.033,0.023,0.034,0.033
0.039,0.049,0.033,0.023,0.034,0.033
0.039,0.049,0.033,0.023,0.034,0.033
0.039,0.049,0.033,0.023,0.034,0.033
0.039,0.049,0.033,0.023,0.034,0.033
0.0,0.02,0.033,0.07,0.034,0.033
0.0,0.044,0.033,0.07,0.034,0.033
0.036,0.016,0.033,0.047,0.034,0.033
0.036,0.016,0.033,0.047,0.034,0.033
0.033,0.016,0.033,0.047,0.034,0.033
0.039,0.016,0.033,0.023,0.034,0.033
0.039,0.016,0.033,0.023,0.034,0.033
0.039,0.016,0.033,0.023,0.034,0.033
0.039,0.016,0.033,0.023,0.034,0.033
0.039,0.016,0.033,0.023,0.034,0.033
0.039,0.016,0.033,0.023,0.034,0.033
0.039,0.016,0.033,0.023,0.034,0.033
